n_estimators,accuracy_score,F1 micro,F1 macro,precision macro,precision micro,recall macro,recall micro
1,0.9239766081871345,0.9239766081871345,0.9190959711758926,0.9232804232804233,0.9239766081871345,0.9155844155844155,0.9239766081871345
10,0.9415204678362573,0.9415204678362573,0.9375730140186915,0.9436963598697841,0.9415204678362573,0.9326839826839827,0.9415204678362573
50,0.935672514619883,0.935672514619883,0.9315427448411399,0.9358465608465609,0.935672514619883,0.9279220779220779,0.935672514619883
100,0.9415204678362573,0.9415204678362573,0.9375730140186915,0.9436963598697841,0.9415204678362573,0.9326839826839827,0.9415204678362573
