n_estimators;accuracy_score;F1 micro;F1 macro;precision macro;precision micro;recall macro;recall micro
1;0.700396825;0.700396825;0.696989934;0.697130688;0.700396825;0.700677762;0.700396825
10;0.705908289;0.705908289;0.702511381;0.70233074;0.705908289;0.706090246;0.705908289
50;0.706128748;0.706128748;0.70262731;0.703369746;0.706128748;0.70647936;0.706128748
100;0.706569665;0.706569665;0.703170204;0.703846348;0.706569665;0.706917098;0.706569665
